Price,Pid,Property_name,Address
"400,000 / year",H1190,1 bedroom mini flat Flat / Apartment for rent Abijo Ajah Lagos,Fidiso Estate Abijo Ajah Lagos
"14,000,000 / year",G7398,3 bedroom Flat / Apartment for rent Gerrard Gerard road Ikoyi Lagos,Gerrard Gerrard Gerard Road Ikoyi Lagos
"200,000 / year",H5843,1 bedroom mini flat Flat / Apartment for rent Akoka Yaba Lagos,Obadia Akoka Yaba Lagos
"800,000 / year",H1194,2 bedroom Flat / Apartment for rent Iju Ishaga Road Gbaja Surulere Lagos,surulere Iju Ishaga Road Gbaja Surulere Lagos
"300,000 / year",H5842,1 bedroom mini flat Flat / Apartment for rent Abule-Oja Yaba Lagos,Close to Unilag Abule Oja Yaba Lagos
"300,000 / year",H5839,1 bedroom mini flat Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos
"300,000 / year",H5142,Self Contain for rent Akoka Abule-Oja Yaba Lagos,Yaba Akoka Abule Oja Yaba Lagos
"600,000 / year",H5838,2 bedroom Flat / Apartment for rent Akoka Yaba Lagos,Akoka Extension Akoka Yaba Lagos
"450,000 / year",H5836,1 bedroom mini flat Flat / Apartment for rent Akoka Yaba Lagos,Akoka Akoka Yaba Lagos
"1,000,000",H5833,3 bedroom Flat / Apartment for rent Alapere Kosofe/Ikosi Lagos,no 24 Emmanuel street Alapere Kosofe Ikosi Lagos
"500,000 / year",H5832,2 bedroom Flat / Apartment for rent Palmgroove Shomolu Lagos,Ladi Lak Palmgroove Shomolu Lagos
"7,000",H5831,Shop for rent Fola Agoro Yaba Lagos,Fola Agoro Fola Agoro Yaba Lagos
"3,300,000",H5829,5 bedroom Flat / Apartment for rent Ilupeju Estate Coker Road Ilupeju Lagos,Ilupeju Estate Coker Road Ilupeju Lagos
"500,000",H5826,Office Space for rent GRA Phase 2 Beside Karis school Magodo Kosofe/Ikosi Lagos,GRA Phase 2 Beside Karis school Magodo Kosofe Ikosi Lagos
"2,500,000 / year",H5798,4 bedroom Duplex for rent Agungi Agungi Lekki Lagos,Agungi Agungi Agungi Lekki Lagos
"550,000",H0552,3 bedroom Flat / Apartment for rent ABULE-ADO BESIDE TRADE FAIR COMPLEX Satellite Town Amuwo Odofin Lagos,Oteyi Garden Estate ABULE-ADO BESIDE TRADE FAIR COMPLEX Satellite Town Amuwo Odofin Lagos
"1,500,000 / year",H5795,3 bedroom Flat / Apartment for rent phase1 Magodo Kosofe/Ikosi Lagos,Magodo isheri phase1 Magodo Kosofe Ikosi Lagos
"300,000",H5792,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos
"180,000",H5791,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off AKoka Off Akoka Akoka Yaba Lagos
"150,000",H5789,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos
"1,500,000",H5788,3 bedroom Flat / Apartment for rent Orchid Hotel chevron Lekki Lagos,Chevron Orchid Hotel Chevron Lekki Lagos
"85,000",H5786,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos
"80,000",H5785,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos
"1,200,000 / year",H5784,2 bedroom Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos
"800,000",H5783,1 bedroom mini flat Flat / Apartment for rent Orchid Hotel chevron Lekki Lagos,Chevron Orchid Hotel Chevron Lekki Lagos
"400,000",H5782,3 bedroom Flat / Apartment for rent New road chevron Lekki Lagos,Alpha beach new road before chveron New road Chevron Lekki Lagos
"1,000,000",H5780,3 bedroom Flat / Apartment for rent LBS Lekki Gardens estate Ajah Lagos,Olokonla LBS Lekki Gardens Estate Ajah Lagos
"1,500,000 / year",H5778,300.0 square meter Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos
"850,000 / year",H5777,3 bedroom Flat / Apartment for rent Soluyi Gbagada Lagos,Off Soluyi road Soluyi Gbagada Lagos
"600,000 / year",H5775,2 bedroom Flat / Apartment for rent Soluyi Gbagada Lagos,Off Estaport Road Soluyi Gbagada Lagos
"450,000 / year",H5773,1 bedroom mini flat Flat / Apartment for rent Ifako-gbagada Gbagada Lagos,Ifako Gbagada Ifako Gbagada Gbagada Lagos
"7,000,000 / year",H5762,3 bedroom House for rent Ikeja GRA Ikeja Lagos,Ikeja Gra Ikeja Gra Ikeja Lagos
"1,200,000",H5760,4 bedroom Bungalow for rent Palm Crescent Estate Badore Ajah Lagos,Anu Crescent Palm Crescent Estate Badore Ajah Lagos
