,Price,Pid,Property_name,Address,Neighboorhood
0,400000,H1190,1 bedroom mini flat Flat / Apartment for rent Abijo Ajah Lagos,Fidiso Estate Abijo Ajah Lagos,Ajah
1,14000000,G7398,3 bedroom Flat / Apartment for rent Gerrard Gerard road Ikoyi Lagos,Gerrard Gerrard Gerard Road Ikoyi Lagos,Ikoyi
2,200000,H5843,1 bedroom mini flat Flat / Apartment for rent Akoka Yaba Lagos,Obadia Akoka Yaba Lagos,Yaba
3,800000,H1194,2 bedroom Flat / Apartment for rent Iju Ishaga Road Gbaja Surulere Lagos,surulere Iju Ishaga Road Gbaja Surulere Lagos,Surulere
4,300000,H5842,1 bedroom mini flat Flat / Apartment for rent Abule-Oja Yaba Lagos,Close to Unilag Abule Oja Yaba Lagos,Yaba
5,300000,H5839,1 bedroom mini flat Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos,Yaba
6,300000,H5142,Self Contain for rent Akoka Abule-Oja Yaba Lagos,Yaba Akoka Abule Oja Yaba Lagos,Yaba
7,600000,H5838,2 bedroom Flat / Apartment for rent Akoka Yaba Lagos,Akoka Extension Akoka Yaba Lagos,Yaba
8,450000,H5836,1 bedroom mini flat Flat / Apartment for rent Akoka Yaba Lagos,Akoka Akoka Yaba Lagos,Yaba
9,1000000,H5833,3 bedroom Flat / Apartment for rent Alapere Kosofe/Ikosi Lagos,no 24 Emmanuel street Alapere Kosofe Ikosi Lagos,Alapere
10,500000,H5832,2 bedroom Flat / Apartment for rent Palmgroove Shomolu Lagos,Ladi Lak Palmgroove Shomolu Lagos,Shomolu
11,7000,H5831,Shop for rent Fola Agoro Yaba Lagos,Fola Agoro Fola Agoro Yaba Lagos,Yaba
12,3300000,H5829,5 bedroom Flat / Apartment for rent Ilupeju Estate Coker Road Ilupeju Lagos,Ilupeju Estate Coker Road Ilupeju Lagos,Ilupeju
13,500000,H5826,Office Space for rent GRA Phase 2 Beside Karis school Magodo Kosofe/Ikosi Lagos,GRA Phase 2 Beside Karis school Magodo Kosofe Ikosi Lagos,Kosofe
14,2500000,H5798,4 bedroom Duplex for rent Agungi Agungi Lekki Lagos,Agungi Agungi Agungi Lekki Lagos,Lekki
15,550000,H0552,3 bedroom Flat / Apartment for rent ABULE-ADO BESIDE TRADE FAIR COMPLEX Satellite Town Amuwo Odofin Lagos,Oteyi Garden Estate ABULE-ADO BESIDE TRADE FAIR COMPLEX Satellite Town Amuwo-Odofin Lagos,Amuwo-Odofin
16,1500000,H5795,3 bedroom Flat / Apartment for rent phase1 Magodo Kosofe/Ikosi Lagos,Magodo isheri phase1 Magodo Kosofe Ikosi Lagos,Kosofe
17,300000,H5792,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba
18,180000,H5791,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off AKoka Off Akoka Akoka Yaba Lagos,Yaba
19,150000,H5789,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba
20,1500000,H5788,3 bedroom Flat / Apartment for rent Orchid Hotel chevron Lekki Lagos,Chevron Orchid Hotel Chevron Lekki Lagos,Lekki
21,85000,H5786,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba
22,80000,H5785,1 bedroom mini flat Flat / Apartment for rent Off Akoka Akoka Yaba Lagos,Off Akoka Off Akoka Akoka Yaba Lagos,Yaba
23,1200000,H5784,2 bedroom Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos,Yaba
24,800000,H5783,1 bedroom mini flat Flat / Apartment for rent Orchid Hotel chevron Lekki Lagos,Chevron Orchid Hotel Chevron Lekki Lagos,Lekki
25,400000,H5782,3 bedroom Flat / Apartment for rent New road chevron Lekki Lagos,Alpha beach new road before chveron New road Chevron Lekki Lagos,Lekki
26,1000000,H5780,3 bedroom Flat / Apartment for rent LBS Lekki Gardens estate Ajah Lagos,Olokonla LBS Lekki Gardens Estate Ajah Lagos,Lekki
27,1500000,H5778,300.0 square meter Flat / Apartment for rent Alagomeji Yaba Lagos,Alagomeji Alagomeji Yaba Lagos,Yaba
28,850000,H5777,3 bedroom Flat / Apartment for rent Soluyi Gbagada Lagos,Off Soluyi road Soluyi Gbagada Lagos,Gbagada
29,600000,H5775,2 bedroom Flat / Apartment for rent Soluyi Gbagada Lagos,Off Estaport Road Soluyi Gbagada Lagos,Gbagada
30,450000,H5773,1 bedroom mini flat Flat / Apartment for rent Ifako-gbagada Gbagada Lagos,Ifako Gbagada Ifako Gbagada Gbagada Lagos,Gbagada
31,7000000,H5762,3 bedroom House for rent Ikeja GRA Ikeja Lagos,Ikeja Gra Ikeja Gra Ikeja Lagos,Ikeja
32,1200000,H5760,4 bedroom Bungalow for rent Palm Crescent Estate Badore Ajah Lagos,Anu Crescent Palm Crescent Estate Badore Ajah Lagos,Ajah
33,900000,H5758,3 bedroom Flat / Apartment for rent Mobil road Ilaje Lekki Lagos,Ilaje Mobil road Ilaje Lekki Lagos,Lekki
34,530000,H1063,1 bedroom mini flat Flat / Apartment for rent Oke-Afa Isolo Lagos,Biliaminu Way Opposite NNPC depot Oke Afa Isolo Lagos,Isolo
35,650000,H5756,2 bedroom Flat / Apartment for rent power line Oke-Ira Ogba Lagos,Kaylee Joseph Street Behind Ojodu Local Govt Oke- ira power line Oke Ira Ogba Lagos,Ojo
