Price,Pid,Property_name,Address
"2,500,000",E9857,Land for sale Eleranigbe Eleranigbe Ibeju-Lekki Lagos,Eleranigbe Eleranigbe Eleranigbe Ibeju Lekki Lagos
"30,000,000","17,H2630",667.0 square meter Land for sale opebi street Opebi Ikeja Lagos,Opebi street opebi street Opebi Ikeja Lagos
"3,500,000,000","10,18,H4485",3 bedroom House for sale Victoria Island Extension Victoria Island Lagos,Victoria Island Lagos Victoria Island Extension Victoria Island Lagos
"340,000,000",H4413,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,off afrika lane Lekki Phase 1 Lekki Lagos
"28,000,000",G8554,3 bedroom Flat / Apartment for sale Igando Ikotun/Igando Lagos,NEAR IGANDO B/STOP Igando Ikotun Igando Lagos
"13,000,000",G5150,Land for sale Bucknor Isolo Lagos,Tijani Salako off Bode Shodiya street Bucknor Isolo Lagos
"12,000,000",G4891,1 bedroom mini flat Flat / Apartment for sale Ijegun Ikotun/Igando Lagos,"Fatade street, off Isheri/ Ijegun Rd, Kuduyeibu estate Ijegun Ikotun Igando Lagos"
"10,000,000",G4886,3 bedroom Bungalow for sale Abaranje Ikotun/Igando Lagos,"Shodimu street by K& S B/stop, Abaranje Abaranje Ikotun Igando Lagos"
"450,000,000",H2245,6 bedroom House for sale Banana Island Ikoyi Lagos,Banana island Banana Island Ikoyi Lagos
"30,000,000",H0634,3 bedroom Flat / Apartment for sale Oral Estate Ikota Lekki Lagos,Oral Estate Oral Estate Ikota Lekki Lagos
"7,000,000",H0652,Land for sale Ajah Sangotedo Ajah Lagos,Ajah Ajah Sangotedo Ajah Lagos
"180,000,000",H3290,5 bedroom House for sale Lekki Phase 1 Lekki Lagos,Lekki Phase 1 Lekki Phase 1 Lekki Lagos
"160,000,000",H4181,6 bedroom House for sale Pinnock Beach estate Jakande Lekki Lagos,Jakande Pinnock Beach estate Jakande Lekki Lagos
"20,000,000","20,H5794",3 bedroom Bungalow for sale opic Isheri North Ojodu Lagos,opic estate isheri lagos opic Isheri North Ojodu Lagos
"2,500,000",H1579,Land for sale Eleko Ibeju-Lekki Lagos,ELEKO Eleko Ibeju Lekki Lagos
"60,000,000",G4612,4 bedroom Duplex for sale chevron Lekki Lagos,chevron Chevron Lekki Lagos
"5,000,000",H1058,830.0 square meter Land for sale Bucknor Isolo Lagos,Bucknor Bucknor Isolo Lagos
"60,000,000",G3849,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos
"4,000,000",H4686,Land for sale Onosa Free Trade Zone Ibeju-Lekki Lagos,Onosa Onosa Free Trade Zone Ibeju Lekki Lagos
"30,000,000",G5330,5 bedroom Duplex for sale Thomas estate Ajah Lagos,Chinedu street Thomas Estate Ajah Lagos
"25,000,000",G6335,Land for sale Eleko Ibeju-Lekki Lagos,EXPRESSWAY Eleko Ibeju Lekki Lagos
"50,000,000",H5031,Office Space for sale Egbeda Egbeda Alimosho Lagos,Egbeda Egbeda Egbeda Alimosho Lagos
"55,000,000",G9381,4 bedroom Duplex for sale chevy view chevron Lekki Lagos,Apena chevy view Chevron Lekki Lagos
