,Price,Pid,Property_name,Address,Neighboorhood
0,2500000,E9857,Land for sale Eleranigbe Eleranigbe Ibeju-Lekki Lagos,Eleranigbe Eleranigbe Eleranigbe Ibeju-Lekki Lagos,Ibeju-Lekki
1,30000000,"17,H2630",667.0 square meter Land for sale opebi street Opebi Ikeja Lagos,Opebi street opebi street Opebi Ikeja Lagos,Ikeja
2,3500000000,"10,18,H4485",3 bedroom House for sale Victoria Island Extension Victoria Island Lagos,VI Lagos VI Extension VI Lagos,VI
3,340000000,H4413,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,off afrika lane Lekki Phase 1 Lekki Lagos,Lekki
4,28000000,G8554,3 bedroom Flat / Apartment for sale Igando Ikotun/Igando Lagos,NEAR IGANDO B/STOP Igando Ikotun Igando Lagos,Igando
5,13000000,G5150,Land for sale Bucknor Isolo Lagos,Tijani Salako off Bode Shodiya street Bucknor Isolo Lagos,Isolo
6,12000000,G4891,1 bedroom mini flat Flat / Apartment for sale Ijegun Ikotun/Igando Lagos,"Fatade street, off Isheri/ Ijegun Rd, Kuduyeibu estate Ijegun Ikotun Igando Lagos",Igando
7,10000000,G4886,3 bedroom Bungalow for sale Abaranje Ikotun/Igando Lagos,"Shodimu street by K& S B/stop, Abaranje Abaranje Ikotun Igando Lagos",Igando
8,450000000,H2245,6 bedroom House for sale Banana Island Ikoyi Lagos,Banana island Banana Island Ikoyi Lagos,Ikoyi
9,30000000,H0634,3 bedroom Flat / Apartment for sale Oral Estate Ikota Lekki Lagos,Oral Estate Oral Estate Ikota Lekki Lagos,Lekki
10,7000000,H0652,Land for sale Ajah Sangotedo Ajah Lagos,Ajah Ajah Sangotedo Ajah Lagos,Ajah
11,180000000,H3290,5 bedroom House for sale Lekki Phase 1 Lekki Lagos,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,Lekki
12,160000000,H4181,6 bedroom House for sale Pinnock Beach estate Jakande Lekki Lagos,Jakande Pinnock Beach estate Jakande Lekki Lagos,Lekki
13,20000000,"20,H5794",3 bedroom Bungalow for sale opic Isheri North Ojodu Lagos,opic estate isheri lagos opic Isheri North Ojodu Lagos,Ojo
14,2500000,H1579,Land for sale Eleko Ibeju-Lekki Lagos,ELEKO Eleko Ibeju-Lekki Lagos,Ibeju-Lekki
15,60000000,G4612,4 bedroom Duplex for sale chevron Lekki Lagos,chevron Chevron Lekki Lagos,Lekki
16,5000000,H1058,830.0 square meter Land for sale Bucknor Isolo Lagos,Bucknor Bucknor Isolo Lagos,Isolo
17,60000000,G3849,4 bedroom Duplex for sale chevron Lekki Lagos,Chevron Chevron Lekki Lagos,Lekki
18,4000000,H4686,Land for sale Onosa Free Trade Zone Ibeju-Lekki Lagos,Onosa Onosa Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
19,30000000,G5330,5 bedroom Duplex for sale Thomas estate Ajah Lagos,Chinedu street Thomas Estate Ajah Lagos,Ajah
20,25000000,G6335,Land for sale Eleko Ibeju-Lekki Lagos,EXPRESSWAY Eleko Ibeju-Lekki Lagos,Ibeju-Lekki
21,50000000,H5031,Office Space for sale Egbeda Egbeda Alimosho Lagos,Egbeda Egbeda Egbeda Alimosho Lagos,Alimosho
22,55000000,G9381,4 bedroom Duplex for sale chevy view chevron Lekki Lagos,Apena chevy view Chevron Lekki Lagos,Lekki
23,95000000,H5748,4 bedroom Duplex for sale Off Lateef Jakande Road Agidingbi Ikeja Lagos,Off Lateef Jakande Road Agidingbi Ikeja Lagos,Ikeja
24,600000000,H1892,House for sale Ikoyi S.W Ikoyi Lagos,"No. 2, Eleko Close Ikoyi S.w Ikoyi Lagos",Ikoyi
25,600000000,H5727,Land for sale Osborne Foreshore Estate Ikoyi Lagos,Osborne phase 2 Osborne Foreshore Estate Ikoyi Lagos,Ikoyi
26,22000000,G3287,Land for sale Sangotedo Ajah Lagos,around shop rite sangotedo lekki Sangotedo Ajah Lagos,Sangotedo
27,42000000,G3278,4 bedroom Flat / Apartment for sale Sangotedo Ajah Lagos,diamond estate lekki Sangotedo Ajah Lagos,Sangotedo
28,42000000,G3288,Land for sale Sangotedo Ajah Lagos,around shop rite sangotedo lekki Sangotedo Ajah Lagos,Sangotedo
29,40000000,G3838,Land for sale Off Lekki-Epe Expressway Ajah Lagos,Around Lbs Off Lekki Epe Expressway Ajah Lagos,Lekki
30,80000000,G3835,Land for sale Off Lekki-Epe Expressway Ajah Lagos,ajiwe Off Lekki Epe Expressway Ajah Lagos,Lekki
31,10000000000,"700,H4285",1000.0 square meter Commercial Property for sale Free Trade Zone Ibeju-Lekki Lagos,Ibeju Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
32,240000000,H4292,5 bedroom Duplex for sale Lekki Phase 1 Lekki Lagos,Lekki Lekki Phase 1 Lekki Lagos,Lekki
33,55000000,H2120,5 bedroom Duplex for sale Ajah Thomas estate Ajah Lagos,Ajiwe area Ajah Thomas Estate Ajah Lagos,Ajah
34,140000000,G9447,Land for sale before Abraham adesanya Abraham adesanya estate Ajah Lagos, along lekki - epe expressway before Abraham adesanya Abraham Adesanya Estate Ajah Lagos,Ajah
35,3000000,H4272,1000.0 square meter Land for sale Lekki Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki Free Trade Zone Ibeju-Lekki Lagos,Ibeju-Lekki
